Date,Month,Climate,Block,Plot,Transect,Species,Count,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Partial,6,Gallium,22,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Partial,6,Gooseberry,100,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Partial,6,CA Buttercup,13,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Partial,4,Gallium,50,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Partial,4,Gooseberry,11,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Partial,4,CA Buttercup,85,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Partial,2,Gooseberry,50,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Partial,2,CA Buttercup,385,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Full,3,Gallium,110,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Full,3,Gooseberry,20,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Full,3,CA Buttercup,41,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Full,1,Gallium,110,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Full,1,Gooseberry,40,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Full,1,CA Buttercup,1323,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Control,3,CA Buttercup,7100,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Control,3,Gooseberry,20,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Control,1,CA Buttercup,6000,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Control,1,Gooseberry,20,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,1,Control,1,Blue Dick,1,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Control,6,Gooseberry,50,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Control,6,CA Buttercup,2770,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Control,4,Gooseberry,99,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Control,4,CA Buttercup,1710,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Control,1,Gooseberry,195,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Control,1,CA Buttercup,1120,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Partial,5,Gooseberry,100,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Partial,5,Purple fuzzy,4,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Partial,3,Gooseberry,45,,,,,,,,,,,,,,,,,,,,
5/4/21,May,Mesic,2,Partial,2,Gooseberry,105,,,,,,,,,,,,,,,,,,,,
