DATE,MONTH,SITE,BLOCK,TREATMENT,PLOTID,TRANSECT,Erodium_sp,Claytonia_perfoliata,Calandrinia_menziesii,Sisymbrium_sp,Nemophila_menziesii,Plagiobothrys_nothofulvus,Triteleia_ixioides,Triteleia_taxa,Galium_aparine,Dichelostemma_capitatum,Stellaria_media,Phacelia_douglasii?,Gilia_tricolor,Capsella_bursa-pastoris,Scrophurlaria_californica,"
Acmispon_wrangelianus",Lupinus_bicolor,Lupinus_bicolor (white),Fireweed?,Ribes_roezlii,Ranunculus californicus,Calochortus_sp,Daucus_pusillus,Chokeberry/Unk A,Lanicera_interrupta,Brysimum_capitatum,Deerweed,Leptosiphon_minimus,White Lotus,Penstemon_laetus,Purple Star,Calystegia_malacophylla,Gayophytum diffusum,Madia_sp,unk_8,Gilia_breccarium,Collinsia_parviflora
3/18/21,March,Arid,AR1,Partial,AR1P,2,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Partial,AR1P,4,1,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Partial,AR1P,6,18,74,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Total,AR1T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Total,AR1T,4,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Total,AR1T,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Open,AR1O,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Open,AR1O,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR1,Open,AR1O,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR2,Total,AR2T,2,1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR2,Total,AR2T,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/21,March,Arid,AR2,Total,AR2T,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Partial,AR2P,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Partial,AR2P,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Partial,AR2P,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Open,AR2O,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR2,Open,AR2O,5,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Partial,AR3P,2,11,,23,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Partial,AR3P,4,12,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Partial,AR3P,6,14,,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Open,AR3O,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Open,AR3O,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/21,March,Arid,AR3,Open,AR3O,6,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Total,IN1T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Total,IN1T,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Total,IN1T,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Partial,IN1P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Partial,IN1P,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Partial,IN1P,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Open,IN1O,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Open,IN1O,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/21,March,Intermediate,IN1,Open,IN1O,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Total,IN2T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Total,IN2T,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Total,IN2T,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Partial,IN2P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Partial,IN2P,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Partial,IN2P,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Open,IN2O,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Open,IN2O,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN2,Open,IN2O,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/21,March,Intermediate,IN3,Total,IN3T,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
